"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"TRINITY_DN55082_c1_g1_i1",1.356533502,3.459485989,7.656049545,0.005658226,0.029282852,"T1_vs_CTL","up"
"TRINITY_DN60703_c0_g2_i1",1.978741437,0.072208516,7.653418897,0.005666483,0.02931652,"T1_vs_CTL","up"
"TRINITY_DN57925_c0_g1_i1",1.314686219,4.894018345,7.640342886,0.005707707,0.029502447,"T1_vs_CTL","up"
"TRINITY_DN50124_c0_g1_i1",1.946439597,0.234312524,7.639019185,0.005711897,0.029514992,"T1_vs_CTL","up"
"TRINITY_DN40585_c2_g1_i3",1.359838673,10.26136625,7.635555413,0.005722876,0.029545404,"T1_vs_CTL","up"
"TRINITY_DN145918_c0_g1_i1",2.107774973,-0.191537243,7.635492267,0.005723076,0.029545404,"T1_vs_CTL","up"
"TRINITY_DN57512_c1_g2_i1",1.305022765,5.144095137,7.633917674,0.005728075,0.029562092,"T1_vs_CTL","up"
"TRINITY_DN16439_c0_g1_i1",2.17039742,-0.466419832,7.609517773,0.005806101,0.029872693,"T1_vs_CTL","up"
"TRINITY_DN57398_c0_g1_i1",1.373506745,3.586757987,7.607704376,0.005811943,0.029893563,"T1_vs_CTL","up"
"TRINITY_DN65060_c0_g2_i2",1.675330085,1.328593688,7.603956062,0.005824037,0.029938322,"T1_vs_CTL","up"
"TRINITY_DN58139_c0_g1_i1",1.823391297,0.536454692,7.603899111,0.005824221,0.029938322,"T1_vs_CTL","up"
"TRINITY_DN44717_c0_g1_i1",1.70201837,1.090275202,7.595732184,0.005850663,0.030046564,"T1_vs_CTL","up"
"TRINITY_DN39124_c0_g1_i1",1.976682358,-0.201179108,7.585235022,0.005884829,0.030184991,"T1_vs_CTL","up"
"TRINITY_DN50723_c0_g1_i1",1.446220804,2.613090547,7.581121414,0.005898274,0.030240235,"T1_vs_CTL","up"
"TRINITY_DN61095_c0_g1_i1",1.395001553,3.010682564,7.580360329,0.005900764,0.030240235,"T1_vs_CTL","up"
"TRINITY_DN49278_c0_g1_i1",2.010737099,0.491244543,7.578331577,0.005907409,0.030261661,"T1_vs_CTL","up"
"TRINITY_DN63439_c1_g1_i1",2.240473396,-0.289814452,7.577293176,0.005910813,0.030261661,"T1_vs_CTL","up"
"TRINITY_DN23660_c0_g1_i1",1.406272339,2.97642809,7.576800415,0.005912429,0.030261661,"T1_vs_CTL","up"
"TRINITY_DN58827_c0_g1_i2",1.517084644,2.305060773,7.573610471,0.005922902,0.030305999,"T1_vs_CTL","up"
"TRINITY_DN65595_c0_g1_i1",3.066654219,-0.784625863,7.5711881,0.005930868,0.030337484,"T1_vs_CTL","up"
"TRINITY_DN62307_c0_g3_i1",3.074833795,-1.033309506,7.565429003,0.005949849,0.030425282,"T1_vs_CTL","up"
"TRINITY_DN50880_c0_g1_i2",1.353350675,3.714586627,7.563323238,0.005956805,0.030442255,"T1_vs_CTL","up"
"TRINITY_DN36119_c0_g1_i1",1.635309874,1.338229241,7.556637946,0.005978943,0.030536749,"T1_vs_CTL","up"
"TRINITY_DN49026_c0_g1_i1",2.262920336,-0.76745898,7.554805493,0.005985026,0.030558494,"T1_vs_CTL","up"
"TRINITY_DN12154_c0_g1_i1",1.288830127,5.438039528,7.552965004,0.005991142,0.030580394,"T1_vs_CTL","up"
"TRINITY_DN57425_c1_g1_i2",1.321571411,4.168544474,7.549504395,0.006002658,0.030620507,"T1_vs_CTL","up"
"TRINITY_DN25228_c0_g1_i1",1.913977488,0.14838156,7.547729987,0.006008572,0.030641338,"T1_vs_CTL","up"
"TRINITY_DN57523_c0_g1_i2",1.956988237,0.011507123,7.542878342,0.006024772,0.03069532,"T1_vs_CTL","up"
"TRINITY_DN50092_c1_g1_i1",1.447129172,2.685179411,7.542644066,0.006025556,0.03069532,"T1_vs_CTL","up"
"TRINITY_DN40916_c0_g1_i1",1.288936594,5.473841786,7.542504518,0.006026022,0.03069532,"T1_vs_CTL","up"
"TRINITY_DN43157_c0_g1_i2",1.555061815,2.032413688,7.538546416,0.006039275,0.030751075,"T1_vs_CTL","up"
"TRINITY_DN64224_c0_g1_i3",1.302754539,4.73267178,7.526760792,0.006078911,0.030934081,"T1_vs_CTL","up"
"TRINITY_DN63328_c3_g4_i3",1.459040208,2.544403424,7.523249073,0.006090773,0.030985024,"T1_vs_CTL","up"
"TRINITY_DN64865_c0_g1_i2",1.392038654,3.013621982,7.522246728,0.006094163,0.030992852,"T1_vs_CTL","up"
"TRINITY_DN63357_c1_g1_i2",2.165629533,-0.420849275,7.520569906,0.006099838,0.031012295,"T1_vs_CTL","up"
"TRINITY_DN37956_c0_g1_i1",2.577194731,-0.555365165,7.519047282,0.006104996,0.031029096,"T1_vs_CTL","up"
"TRINITY_DN54457_c0_g1_i1",1.312872089,4.200122707,7.51750196,0.006110236,0.031046302,"T1_vs_CTL","up"
"TRINITY_DN63875_c0_g1_i6",1.629883699,1.747100797,7.503732432,0.006157126,0.031256095,"T1_vs_CTL","up"
"TRINITY_DN47862_c0_g1_i1",1.641855829,1.378848455,7.500896834,0.006166828,0.031286372,"T1_vs_CTL","up"
"TRINITY_DN55612_c0_g1_i3",1.312853154,4.43071725,7.492960902,0.006194063,0.031396003,"T1_vs_CTL","up"
"TRINITY_DN6897_c0_g1_i1",1.921509337,0.618213259,7.492304162,0.006196322,0.031397949,"T1_vs_CTL","up"
"TRINITY_DN36759_c0_g1_i1",2.892100564,-1.200690631,7.484293498,0.006223948,0.031518858,"T1_vs_CTL","up"
"TRINITY_DN17456_c0_g1_i1",2.003064006,0.070554281,7.476508124,0.006250918,0.031626738,"T1_vs_CTL","up"
"TRINITY_DN27630_c0_g1_i1",1.392124625,2.946772942,7.473951859,0.0062598,0.031661761,"T1_vs_CTL","up"
"TRINITY_DN62886_c0_g1_i1",1.476494183,2.423251007,7.472883866,0.006263514,0.031661761,"T1_vs_CTL","up"
"TRINITY_DN18842_c0_g1_i1",1.939498064,0.178413349,7.465877238,0.006287938,0.031775631,"T1_vs_CTL","up"
"TRINITY_DN28261_c0_g1_i1",1.504977527,2.171746417,7.464123236,0.006294068,0.031797008,"T1_vs_CTL","up"
"TRINITY_DN10445_c0_g1_i1",1.281869678,6.497011842,7.460266377,0.006307567,0.031855593,"T1_vs_CTL","up"
"TRINITY_DN54254_c0_g1_i2",2.644343512,-0.963807207,7.452236276,0.006335768,0.03198837,"T1_vs_CTL","up"
"TRINITY_DN65305_c3_g2_i3",1.957263943,0.313086805,7.447720083,0.006351685,0.032059065,"T1_vs_CTL","up"
"TRINITY_DN27187_c0_g1_i1",1.316866199,8.662029627,7.445018587,0.006361226,0.032097543,"T1_vs_CTL","up"
"TRINITY_DN58522_c0_g1_i5",1.871951858,0.364941146,7.440120932,0.00637856,0.032175311,"T1_vs_CTL","up"
"TRINITY_DN56131_c0_g1_i1",2.18327326,-0.603517464,7.436850363,0.006390163,0.032204727,"T1_vs_CTL","up"
"TRINITY_DN48124_c0_g2_i1",2.503091116,-0.176090149,7.424707622,0.006433428,0.032383779,"T1_vs_CTL","up"
"TRINITY_DN60527_c0_g1_i1",2.03406089,0.026428452,7.421063083,0.006446472,0.032429937,"T1_vs_CTL","up"
"TRINITY_DN59212_c4_g1_i1",1.605528742,2.010876327,7.4192913,0.006452823,0.032452135,"T1_vs_CTL","up"
"TRINITY_DN44102_c0_g1_i1",2.251450126,-0.63789742,7.418092494,0.006457123,0.032454266,"T1_vs_CTL","up"
"TRINITY_DN70244_c0_g1_i1",2.760589604,-1.224687242,7.408599391,0.006491284,0.032606383,"T1_vs_CTL","up"
"TRINITY_DN58003_c0_g1_i1",1.742952445,0.747755665,7.407616839,0.00649483,0.032613475,"T1_vs_CTL","up"
"TRINITY_DN12175_c0_g1_i1",1.284284891,5.067587341,7.400995449,0.006518779,0.032705246,"T1_vs_CTL","up"
"TRINITY_DN25267_c0_g1_i1",1.318252928,3.626659383,7.39987385,0.006522845,0.03271584,"T1_vs_CTL","up"
"TRINITY_DN52443_c1_g1_i1",2.099742883,-0.427385101,7.386672131,0.006570895,0.032880517,"T1_vs_CTL","up"
"TRINITY_DN5628_c0_g1_i1",1.27369065,6.001239171,7.382963056,0.00658446,0.032926233,"T1_vs_CTL","up"
"TRINITY_DN58323_c0_g1_i1",1.808401704,1.490264482,7.378916596,0.006599291,0.032990545,"T1_vs_CTL","up"
"TRINITY_DN51720_c0_g1_i1",1.903055302,0.417431821,7.37801192,0.006602612,0.032997292,"T1_vs_CTL","up"
"TRINITY_DN55718_c0_g1_i1",1.648595558,1.372024298,7.366886347,0.006643587,0.033152588,"T1_vs_CTL","up"
"TRINITY_DN94443_c1_g1_i1",1.308792581,8.643463742,7.360713215,0.006666434,0.033246781,"T1_vs_CTL","up"
"TRINITY_DN64268_c0_g1_i1",1.590784771,1.526473063,7.354966842,0.006687774,0.033313513,"T1_vs_CTL","up"
"TRINITY_DN66653_c0_g1_i1",1.982267166,-0.007288661,7.351928225,0.006699087,0.033349524,"T1_vs_CTL","up"
"TRINITY_DN137639_c0_g1_i1",1.627710745,1.57158467,7.349885136,0.006706704,0.033368095,"T1_vs_CTL","up"
"TRINITY_DN43679_c0_g1_i1",2.389041758,-0.395727243,7.348801235,0.006710749,0.0333783,"T1_vs_CTL","up"
"TRINITY_DN64882_c2_g1_i1",1.32981449,3.515751297,7.340450157,0.006741995,0.033513803,"T1_vs_CTL","up"
"TRINITY_DN64525_c5_g1_i2",1.269587374,6.402476687,7.327255767,0.006791667,0.03371067,"T1_vs_CTL","up"
"TRINITY_DN58042_c0_g1_i1",1.539835345,1.981975654,7.326626863,0.006794044,0.033712473,"T1_vs_CTL","up"
"TRINITY_DN48417_c1_g1_i1",1.356494013,12.41312313,7.323755659,0.006804906,0.033756367,"T1_vs_CTL","up"
"TRINITY_DN58373_c0_g1_i1",1.538699291,1.837768749,7.308331598,0.006863562,0.034007032,"T1_vs_CTL","up"
"TRINITY_DN60801_c0_g1_i1",1.652966271,1.252044075,7.304723709,0.006877357,0.034058965,"T1_vs_CTL","up"
"TRINITY_DN56779_c0_g1_i1",2.679183971,-0.76232907,7.303835362,0.006880758,0.03406028,"T1_vs_CTL","up"
"TRINITY_DN46933_c0_g1_i1",1.62147396,1.428603947,7.303394352,0.006882447,0.03406028,"T1_vs_CTL","up"
"TRINITY_DN63228_c3_g1_i1",1.325419402,3.548760297,7.296056077,0.006910614,0.034169372,"T1_vs_CTL","up"
"TRINITY_DN62425_c0_g3_i1",1.785185501,0.625735934,7.293115605,0.006921933,0.034215237,"T1_vs_CTL","up"
"TRINITY_DN38717_c0_g1_i2",2.104215137,-0.357674795,7.290472199,0.006932125,0.034245395,"T1_vs_CTL","up"
"TRINITY_DN56935_c1_g1_i2",1.703407798,0.80752004,7.289264687,0.006936786,0.034258311,"T1_vs_CTL","up"
"TRINITY_DN52775_c0_g1_i1",2.209548581,-0.542633976,7.286112171,0.00694897,0.034298246,"T1_vs_CTL","up"
"TRINITY_DN57731_c0_g1_i2",1.647496303,1.125574149,7.270885617,0.007008124,0.03455965,"T1_vs_CTL","up"
"TRINITY_DN64751_c0_g2_i2",1.299475542,4.292929079,7.269218237,0.007014633,0.034573949,"T1_vs_CTL","up"
"TRINITY_DN36551_c0_g1_i1",2.883488735,-1.318618252,7.26900934,0.007015449,0.034573949,"T1_vs_CTL","up"
"TRINITY_DN49921_c0_g1_i1",1.338856913,3.174570238,7.264025131,0.007034944,0.034630709,"T1_vs_CTL","up"
"TRINITY_DN60508_c0_g1_i1",2.368243576,-0.856137108,7.258568982,0.00705635,0.034707273,"T1_vs_CTL","up"
"TRINITY_DN50471_c1_g1_i1",1.264900886,5.438802726,7.258475488,0.007056717,0.034707273,"T1_vs_CTL","up"
"TRINITY_DN46001_c0_g1_i1",1.272520877,5.042523943,7.257451225,0.007060743,0.034716875,"T1_vs_CTL","up"
"TRINITY_DN45141_c0_g1_i2",1.386999044,2.952470174,7.240448366,0.007127918,0.035016314,"T1_vs_CTL","up"
"TRINITY_DN39951_c0_g1_i1",1.736547049,0.753539326,7.234755831,0.007150553,0.035106911,"T1_vs_CTL","up"
"TRINITY_DN44038_c0_g1_i1",1.418950937,2.55580338,7.231180658,0.007164807,0.035157598,"T1_vs_CTL","up"
"TRINITY_DN42445_c0_g1_i1",2.439102645,-0.677467562,7.231112958,0.007165077,0.035157598,"T1_vs_CTL","up"
"TRINITY_DN63401_c0_g1_i1",2.205908418,-0.616083427,7.22796157,0.007177666,0.035191685,"T1_vs_CTL","up"
"TRINITY_DN61669_c2_g1_i6",1.485996407,2.194105745,7.21445258,0.007231887,0.035443866,"T1_vs_CTL","up"
"TRINITY_DN51753_c0_g1_i1",1.455640012,2.335913931,7.213909141,0.007234077,0.035444223,"T1_vs_CTL","up"
"TRINITY_DN57593_c0_g1_i1",1.344566909,3.213443861,7.205715128,0.007267179,0.035585582,"T1_vs_CTL","up"
"TRINITY_DN57641_c0_g2_i1",1.941176644,0.233647924,7.201011913,0.007286248,0.035661434,"T1_vs_CTL","up"
"TRINITY_DN19965_c0_g1_i1",1.397911735,2.779253343,7.200844323,0.007286929,0.035661434,"T1_vs_CTL","up"
"TRINITY_DN63545_c0_g1_i2",1.824584576,0.436674549,7.196141338,0.007306051,0.035734419,"T1_vs_CTL","up"
"TRINITY_DN57649_c0_g1_i1",1.349062811,3.272034375,7.194697526,0.007311931,0.035742002,"T1_vs_CTL","up"
"TRINITY_DN56055_c0_g1_i1",1.303121341,3.786801989,7.191149691,0.007326402,0.035802285,"T1_vs_CTL","up"
"TRINITY_DN62264_c1_g1_i1",1.887416212,0.124952164,7.190145226,0.007330505,0.035811879,"T1_vs_CTL","up"
"TRINITY_DN40132_c0_g1_i1",1.254938505,5.840609168,7.184937214,0.007351812,0.035895026,"T1_vs_CTL","up"
"TRINITY_DN63787_c3_g1_i8",1.470149124,2.410787886,7.179020883,0.007376095,0.035992592,"T1_vs_CTL","up"
"TRINITY_DN39965_c1_g2_i1",1.814745592,0.429923221,7.176030759,0.007388399,0.036041996,"T1_vs_CTL","up"
"TRINITY_DN27972_c0_g1_i1",1.468289873,2.137720552,7.175514444,0.007390525,0.036041996,"T1_vs_CTL","up"
"TRINITY_DN57356_c0_g1_i2",1.464438509,2.338073646,7.15878502,0.007459771,0.036347929,"T1_vs_CTL","up"
"TRINITY_DN51819_c0_g1_i3",1.594662599,1.405421533,7.141808613,0.007530717,0.036644159,"T1_vs_CTL","up"
"TRINITY_DN62796_c0_g1_i1",1.251786585,5.734788935,7.141619643,0.007531511,0.036644159,"T1_vs_CTL","up"
"TRINITY_DN27168_c0_g1_i1",1.264105269,7.355944714,7.13224994,0.007570967,0.036825429,"T1_vs_CTL","up"
"TRINITY_DN61368_c0_g1_i1",1.2808288,4.410919197,7.12593334,0.007597685,0.036923207,"T1_vs_CTL","up"
"TRINITY_DN46376_c0_g1_i1",1.256450456,5.305951057,7.121489245,0.007616541,0.036961198,"T1_vs_CTL","up"
"TRINITY_DN55746_c0_g1_i1",1.257591819,5.606628639,7.116969695,0.007635766,0.037043755,"T1_vs_CTL","up"
"TRINITY_DN56770_c0_g1_i1",1.286971305,3.954770425,7.113975662,0.007648529,0.037094925,"T1_vs_CTL","up"
"TRINITY_DN61108_c0_g1_i1",2.189459115,-0.64055115,7.109819938,0.007666281,0.037160634,"T1_vs_CTL","up"
"TRINITY_DN56247_c0_g1_i1",1.524353492,1.957384959,7.109764717,0.007666517,0.037160634,"T1_vs_CTL","up"
"TRINITY_DN52305_c0_g1_i1",2.038637898,-0.217338354,7.098449055,0.007715068,0.037370361,"T1_vs_CTL","up"
"TRINITY_DN59743_c0_g2_i1",1.902172323,0.027385969,7.097928911,0.007717308,0.037370361,"T1_vs_CTL","up"
"TRINITY_DN55004_c0_g1_i1",1.333239119,3.226719042,7.097602296,0.007718714,0.037370361,"T1_vs_CTL","up"
"TRINITY_DN44164_c0_g1_i1",1.768012277,0.621333736,7.096706402,0.007722573,0.037378236,"T1_vs_CTL","up"
"TRINITY_DN47597_c0_g1_i2",1.886234221,-0.031669695,7.088758099,0.007756898,0.037502336,"T1_vs_CTL","up"
"TRINITY_DN48987_c0_g1_i1",1.716648583,0.860616538,7.087293545,0.00776324,0.037520832,"T1_vs_CTL","up"
"TRINITY_DN46666_c0_g1_i3",2.011799186,-0.048097728,7.086160474,0.00776815,0.037533727,"T1_vs_CTL","up"
"TRINITY_DN17782_c0_g1_i1",1.806925746,0.398524921,7.081503698,0.007788363,0.037608697,"T1_vs_CTL","up"
"TRINITY_DN44525_c0_g1_i2",2.250403331,-0.911602568,7.076918775,0.007808316,0.037673438,"T1_vs_CTL","up"
"TRINITY_DN62355_c0_g1_i1",1.434790848,2.496351495,7.075968135,0.00781246,0.037682571,"T1_vs_CTL","up"
"TRINITY_DN24626_c0_g1_i1",1.934162121,0.336695475,7.071094111,0.00783374,0.037752585,"T1_vs_CTL","up"
"TRINITY_DN61418_c0_g1_i5",1.52867171,1.62547246,7.069312685,0.007841533,0.037779265,"T1_vs_CTL","up"
"TRINITY_DN59047_c0_g2_i2",2.598465879,-1.092515636,7.063542418,0.007866829,0.037890234,"T1_vs_CTL","up"
"TRINITY_DN64882_c1_g2_i1",1.724230983,1.011333593,7.062932945,0.007869506,0.037892225,"T1_vs_CTL","up"
"TRINITY_DN64781_c0_g1_i2",2.340702194,-0.753931392,7.059585595,0.007884223,0.037952176,"T1_vs_CTL","up"
"TRINITY_DN38334_c1_g1_i1",1.656234395,0.990197513,7.057900192,0.007891644,0.037976979,"T1_vs_CTL","up"
"TRINITY_DN42650_c0_g1_i3",2.542262133,-0.64462721,7.048465091,0.00793332,0.038155601,"T1_vs_CTL","up"
"TRINITY_DN50630_c0_g1_i1",1.273493023,8.421480505,7.021657049,0.008052967,0.038642241,"T1_vs_CTL","up"
"TRINITY_DN45311_c0_g1_i1",1.258480871,7.624496332,7.016898127,0.008074399,0.038733979,"T1_vs_CTL","up"
"TRINITY_DN63536_c0_g2_i1",1.416470659,2.479121389,7.014773539,0.008083986,0.038746662,"T1_vs_CTL","up"
"TRINITY_DN52939_c0_g1_i1",1.908161635,-0.082777964,7.011422609,0.00809913,0.038797034,"T1_vs_CTL","up"
"TRINITY_DN40484_c0_g1_i1",2.378469384,-0.847047788,7.008381866,0.008112897,0.038851867,"T1_vs_CTL","up"
"TRINITY_DN64960_c0_g1_i1",2.258591085,-0.640586848,7.006093167,0.008123276,0.038890443,"T1_vs_CTL","up"
"TRINITY_DN14022_c0_g1_i1",2.39806676,-0.367986452,7.004990372,0.008128281,0.038903282,"T1_vs_CTL","up"
"TRINITY_DN16808_c0_g1_i1",1.588917719,1.095793548,7.004122946,0.008132221,0.038911013,"T1_vs_CTL","up"
"TRINITY_DN36948_c2_g1_i4",1.968442795,-0.033318488,7.00288891,0.008137828,0.038925963,"T1_vs_CTL","up"
"TRINITY_DN60882_c0_g3_i1",2.433799491,-0.837507637,7.002195086,0.008140983,0.038925963,"T1_vs_CTL","up"
"TRINITY_DN64300_c0_g1_i1",1.537561196,1.597111278,7.001901093,0.00814232,0.038925963,"T1_vs_CTL","up"
"TRINITY_DN50767_c0_g1_i1",1.675952637,0.902608717,6.993156965,0.008182191,0.039083095,"T1_vs_CTL","up"
"TRINITY_DN122531_c0_g1_i1",1.914450087,0.066726797,6.971829677,0.008280279,0.039461551,"T1_vs_CTL","up"
"TRINITY_DN62073_c0_g3_i1",1.281762387,3.880584291,6.96996512,0.008288911,0.039480214,"T1_vs_CTL","up"
"TRINITY_DN59724_c0_g1_i1",1.643286872,1.51787817,6.968381525,0.00829625,0.03950393,"T1_vs_CTL","up"
"TRINITY_DN53835_c0_g1_i1",2.139020538,0.051398574,6.967092323,0.00830223,0.039521162,"T1_vs_CTL","up"
"TRINITY_DN56274_c0_g1_i1",1.963983979,-0.387861423,6.959943122,0.008335468,0.039629964,"T1_vs_CTL","up"
"TRINITY_DN62695_c9_g1_i1",1.535254254,1.668342464,6.953956308,0.008363407,0.039716301,"T1_vs_CTL","up"
"TRINITY_DN138156_c0_g1_i1",1.601331201,1.224142829,6.953267058,0.00836663,0.039716301,"T1_vs_CTL","up"
"TRINITY_DN65194_c0_g1_i1",1.784201263,0.457454958,6.950640871,0.008378921,0.039761129,"T1_vs_CTL","up"
"TRINITY_DN46239_c0_g1_i1",1.91055162,0.296299491,6.949490063,0.008384313,0.03976492,"T1_vs_CTL","up"
"TRINITY_DN56565_c0_g1_i1",1.824371326,0.264358688,6.943620866,0.008411867,0.039884302,"T1_vs_CTL","up"
"TRINITY_DN42525_c0_g1_i2",1.393033567,2.528397969,6.942211732,0.008418496,0.039904432,"T1_vs_CTL","up"
"TRINITY_DN52057_c0_g1_i1",1.435427802,2.37972501,6.941119042,0.00842364,0.039917514,"T1_vs_CTL","up"
"TRINITY_DN45554_c0_g1_i1",2.545674275,-1.311706885,6.939752761,0.008430076,0.039936712,"T1_vs_CTL","up"
"TRINITY_DN43281_c2_g1_i1",1.273646291,3.821649965,6.936191263,0.008446879,0.039993677,"T1_vs_CTL","up"
"TRINITY_DN39005_c0_g1_i1",2.577814405,-1.210929471,6.931269534,0.008470154,0.040081211,"T1_vs_CTL","up"
"TRINITY_DN63722_c8_g2_i1",2.380272528,-0.864252262,6.93013098,0.008475548,0.040084075,"T1_vs_CTL","up"
"TRINITY_DN58715_c0_g1_i1",1.23579337,5.327459109,6.927704097,0.008487057,0.04012717,"T1_vs_CTL","up"
"TRINITY_DN26300_c0_g1_i5",1.264519167,4.156704436,6.926401055,0.008493243,0.04013887,"T1_vs_CTL","up"
"TRINITY_DN706_c0_g1_i1",1.284295029,3.665523996,6.924197278,0.008503715,0.040149239,"T1_vs_CTL","up"
"TRINITY_DN35191_c0_g1_i1",3.326257952,-1.377155291,6.922817524,0.008510279,0.0401689,"T1_vs_CTL","up"
"TRINITY_DN47597_c0_g1_i4",1.839412385,0.092585796,6.914460886,0.008550142,0.040304947,"T1_vs_CTL","up"
"TRINITY_DN25118_c0_g1_i1",1.246530443,4.548246807,6.914102842,0.008551854,0.040304947,"T1_vs_CTL","up"
"TRINITY_DN45449_c0_g1_i2",1.249859124,4.661041667,6.913748949,0.008553546,0.040304947,"T1_vs_CTL","up"
"TRINITY_DN27981_c0_g1_i1",1.461443168,2.004915835,6.898054358,0.008628961,0.040591757,"T1_vs_CTL","up"
"TRINITY_DN35570_c0_g1_i1",1.977177264,-0.140579727,6.892932232,0.00865372,0.040685365,"T1_vs_CTL","up"
"TRINITY_DN34457_c0_g1_i2",2.105677978,-0.708961764,6.888162239,0.008676843,0.040782623,"T1_vs_CTL","up"
"TRINITY_DN80475_c0_g1_i1",1.492750337,2.11483088,6.883352227,0.008700224,0.040869569,"T1_vs_CTL","up"
"TRINITY_DN51244_c4_g1_i1",1.267394735,4.138947009,6.880750385,0.008712898,0.040907734,"T1_vs_CTL","up"
"TRINITY_DN24428_c0_g1_i1",2.488557281,-1.567168495,6.880681175,0.008713235,0.040907734,"T1_vs_CTL","up"
"TRINITY_DN108410_c0_g1_i1",2.683534051,-0.32960694,6.878139729,0.008725634,0.040954459,"T1_vs_CTL","up"
"TRINITY_DN62904_c10_g1_i1",1.241677838,7.332073884,6.87686959,0.008731837,0.040960608,"T1_vs_CTL","up"
"TRINITY_DN59693_c1_g1_i1",1.635054281,1.168909445,6.874807814,0.008741916,0.040996301,"T1_vs_CTL","up"
"TRINITY_DN58716_c0_g1_i1",1.620536216,1.124829072,6.872740066,0.008752036,0.041020881,"T1_vs_CTL","up"
"TRINITY_DN43062_c0_g2_i1",2.219958788,-0.675472693,6.871668208,0.008757287,0.041034003,"T1_vs_CTL","up"
"TRINITY_DN57039_c0_g1_i1",1.265239395,3.975630795,6.869188727,0.008769445,0.041067987,"T1_vs_CTL","up"
"TRINITY_DN50278_c0_g1_i2",1.536270852,1.827384381,6.867436037,0.00877805,0.041096658,"T1_vs_CTL","up"
"TRINITY_DN39302_c0_g1_i1",1.317103567,3.165471527,6.86570282,0.008786568,0.041111051,"T1_vs_CTL","up"
"TRINITY_DN49416_c0_g1_i1",1.574416011,1.299706236,6.865317497,0.008788463,0.041111051,"T1_vs_CTL","up"
"TRINITY_DN64905_c0_g1_i2",1.273438326,3.828549797,6.86465857,0.008791704,0.041114725,"T1_vs_CTL","up"
"TRINITY_DN39972_c0_g1_i2",2.24039646,-0.826814934,6.862160713,0.008804003,0.04116074,"T1_vs_CTL","up"
"TRINITY_DN52864_c0_g1_i1",2.21554047,-0.717130786,6.852919788,0.008849653,0.041334503,"T1_vs_CTL","up"
"TRINITY_DN50811_c0_g1_i1",1.233354349,4.989096116,6.852533399,0.008851567,0.041334503,"T1_vs_CTL","up"
"TRINITY_DN53726_c0_g1_i1",1.502706771,1.763476703,6.846371093,0.008882151,0.041433537,"T1_vs_CTL","up"
"TRINITY_DN53795_c0_g1_i1",1.228412838,5.347851122,6.845640234,0.008885785,0.041438945,"T1_vs_CTL","up"
"TRINITY_DN56948_c0_g1_i1",1.235104458,5.13385079,6.839354103,0.008917107,0.041561863,"T1_vs_CTL","up"
"TRINITY_DN24473_c0_g1_i1",1.243705148,4.634142586,6.835363503,0.00893705,0.041630236,"T1_vs_CTL","up"
"TRINITY_DN79428_c0_g1_i1",1.497934613,1.808678938,6.834926621,0.008939237,0.041630236,"T1_vs_CTL","up"
"TRINITY_DN50254_c0_g1_i1",1.277362906,3.54251018,6.832806343,0.008949854,0.041668091,"T1_vs_CTL","up"
"TRINITY_DN62183_c0_g1_i1",1.225381293,6.717484863,6.822894147,0.008999661,0.041852044,"T1_vs_CTL","up"
"TRINITY_DN64836_c3_g2_i1",2.14233996,-0.830654272,6.81834556,0.009022612,0.041920527,"T1_vs_CTL","up"
"TRINITY_DN62745_c0_g1_i1",2.206760195,-0.598619802,6.814581871,0.009041647,0.041978718,"T1_vs_CTL","up"
"TRINITY_DN44413_c0_g1_i1",1.476034541,2.014628002,6.813465895,0.009047299,0.041993315,"T1_vs_CTL","up"
"TRINITY_DN36021_c0_g1_i1",2.026339569,-0.345799109,6.812463328,0.00905238,0.042005252,"T1_vs_CTL","up"
"TRINITY_DN55209_c0_g1_i1",1.378535648,2.616792261,6.806120841,0.009084591,0.042119696,"T1_vs_CTL","up"
"TRINITY_DN62380_c0_g1_i3",1.253419695,3.876860015,6.804943919,0.009090581,0.042135799,"T1_vs_CTL","up"
"TRINITY_DN60281_c5_g3_i1",1.34499089,2.79971165,6.802040885,0.009105373,0.042192682,"T1_vs_CTL","up"
"TRINITY_DN58430_c0_g1_i1",1.265115745,3.808832362,6.801315956,0.009109071,0.042198137,"T1_vs_CTL","up"
"TRINITY_DN26739_c0_g1_i1",1.784904154,0.340269011,6.79356369,0.00914871,0.042334909,"T1_vs_CTL","up"
"TRINITY_DN1376_c0_g1_i1",1.753945098,0.476244413,6.787589311,0.009179378,0.042429915,"T1_vs_CTL","up"
"TRINITY_DN59893_c0_g1_i1",1.377660024,2.540699503,6.77473507,0.009245721,0.042655166,"T1_vs_CTL","up"
"TRINITY_DN40407_c0_g1_i1",2.665361509,-1.361304551,6.771632647,0.009261807,0.042704812,"T1_vs_CTL","up"
"TRINITY_DN48439_c1_g1_i1",1.225192511,5.155391316,6.768544403,0.009277847,0.042766994,"T1_vs_CTL","up"
"TRINITY_DN47898_c0_g1_i1",1.550429335,1.547970897,6.763251075,0.009305408,0.042882228,"T1_vs_CTL","up"
"TRINITY_DN47722_c0_g1_i2",2.269572962,-0.579553958,6.762145021,0.009311177,0.042892081,"T1_vs_CTL","up"
"TRINITY_DN29050_c0_g1_i1",1.219068753,6.280066603,6.759413576,0.00932544,0.042939087,"T1_vs_CTL","up"
"TRINITY_DN52875_c2_g1_i1",1.645606062,1.000636277,6.758164049,0.009331973,0.042957351,"T1_vs_CTL","up"
