"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"TRINITY_DN59418_c0_g1_i1",2.764862684,0.632906863,13.44158746,0.000246107,0.002540276,"T1_vs_CTL","up"
"TRINITY_DN50843_c0_g1_i1",1.746104902,6.82227186,13.43289822,0.00024725,0.002548927,"T1_vs_CTL","up"
"TRINITY_DN43422_c0_g2_i1",1.772106792,4.618126692,13.42455638,0.000248352,0.002558711,"T1_vs_CTL","up"
"TRINITY_DN60822_c0_g1_i2",1.753097033,4.997293016,13.42175726,0.000248723,0.002559382,"T1_vs_CTL","up"
"TRINITY_DN64845_c1_g3_i2",2.576490778,0.316505253,13.42027751,0.000248919,0.002559828,"T1_vs_CTL","up"
"TRINITY_DN56302_c0_g1_i1",1.763005402,7.581310968,13.41528248,0.000249583,0.002561932,"T1_vs_CTL","up"
"TRINITY_DN23369_c0_g1_i1",3.20844761,-0.61885352,13.41361848,0.000249804,0.002562635,"T1_vs_CTL","up"
"TRINITY_DN59347_c0_g1_i2",4.295826496,-0.817821015,13.40053446,0.000251553,0.002578992,"T1_vs_CTL","up"
"TRINITY_DN50853_c0_g2_i2",3.111326194,0.053985394,13.39580632,0.000252188,0.002582338,"T1_vs_CTL","up"
"TRINITY_DN42821_c0_g1_i1",1.73723444,6.145105942,13.38949996,0.000253037,0.002589452,"T1_vs_CTL","up"
"TRINITY_DN94560_c0_g1_i1",4.397389686,-1.557677781,13.37420105,0.000255109,0.002605726,"T1_vs_CTL","up"
"TRINITY_DN52165_c0_g1_i3",1.780295542,4.036624208,13.373169,0.00025525,0.002605726,"T1_vs_CTL","up"
"TRINITY_DN60013_c1_g1_i4",1.751163129,7.215138227,13.36758605,0.000256011,0.002611902,"T1_vs_CTL","up"
"TRINITY_DN35537_c0_g1_i1",3.874760218,-0.610867987,13.36481528,0.000256389,0.00261417,"T1_vs_CTL","up"
"TRINITY_DN25924_c0_g1_i1",2.048684815,2.306667953,13.36103073,0.000256907,0.002617856,"T1_vs_CTL","up"
"TRINITY_DN33166_c0_g1_i1",2.986524433,0.671686617,13.35622241,0.000257567,0.002622981,"T1_vs_CTL","up"
"TRINITY_DN50615_c1_g1_i1",3.05697927,-0.250394505,13.34803792,0.000258693,0.002632851,"T1_vs_CTL","up"
"TRINITY_DN58810_c0_g1_i2",1.80264923,3.718841183,13.34342114,0.000259331,0.002637337,"T1_vs_CTL","up"
"TRINITY_DN52492_c0_g1_i1",1.981839119,2.523773601,13.34142862,0.000259606,0.002637337,"T1_vs_CTL","up"
"TRINITY_DN26622_c0_g1_i1",5.282377161,-1.174856733,13.3383873,0.000260028,0.002640016,"T1_vs_CTL","up"
"TRINITY_DN32132_c0_g1_i1",2.143290041,1.725547841,13.33705199,0.000260213,0.002640296,"T1_vs_CTL","up"
"TRINITY_DN58005_c0_g1_i4",1.777746465,4.261446325,13.32845246,0.000261409,0.002649221,"T1_vs_CTL","up"
"TRINITY_DN64119_c0_g1_i2",3.432375244,-0.808590649,13.32401292,0.000262029,0.00265256,"T1_vs_CTL","up"
"TRINITY_DN54270_c1_g1_i1",2.550904454,0.624617296,13.32382177,0.000262056,0.00265256,"T1_vs_CTL","up"
"TRINITY_DN54426_c1_g1_i1",4.155107659,-1.183973062,13.32075549,0.000262484,0.002655295,"T1_vs_CTL","up"
"TRINITY_DN57803_c0_g2_i2",2.888445458,-0.170980083,13.3176009,0.000262926,0.00265816,"T1_vs_CTL","up"
"TRINITY_DN54600_c0_g1_i1",3.244495334,-0.798522657,13.27562731,0.000268879,0.002711789,"T1_vs_CTL","up"
"TRINITY_DN43256_c0_g1_i1",1.731758765,5.981565472,13.27232799,0.000269353,0.002714931,"T1_vs_CTL","up"
"TRINITY_DN64904_c1_g1_i1",2.217046651,1.600855965,13.26958544,0.000269747,0.002717269,"T1_vs_CTL","up"
"TRINITY_DN26431_c0_g1_i1",3.51973693,-0.057881514,13.23800114,0.00027433,0.002758113,"T1_vs_CTL","up"
"TRINITY_DN61109_c0_g1_i1",2.58390799,0.184079995,13.23711212,0.00027446,0.002758113,"T1_vs_CTL","up"
"TRINITY_DN62614_c0_g3_i1",2.143966334,1.8459344,13.22663159,0.000275999,0.002770253,"T1_vs_CTL","up"
"TRINITY_DN62691_c4_g1_i4",2.544791106,0.425704881,13.22419404,0.000276359,0.002772196,"T1_vs_CTL","up"
"TRINITY_DN60920_c0_g1_i1",4.324916464,-1.14476819,13.22017963,0.000276951,0.002774814,"T1_vs_CTL","up"
"TRINITY_DN51941_c1_g1_i1",2.091605778,2.008492284,13.19569612,0.000280593,0.002804587,"T1_vs_CTL","up"
"TRINITY_DN12244_c2_g1_i1",1.967102537,2.473604508,13.1930663,0.000280987,0.002805395,"T1_vs_CTL","up"
"TRINITY_DN37857_c0_g1_i1",1.731507436,6.627404863,13.1806148,0.00028286,0.002820513,"T1_vs_CTL","up"
"TRINITY_DN61782_c4_g1_i1",2.094772844,2.222212454,13.17318535,0.000283984,0.002830032,"T1_vs_CTL","up"
"TRINITY_DN18751_c0_g1_i1",5.259417489,-1.278721394,13.14564228,0.000288189,0.002866818,"T1_vs_CTL","up"
"TRINITY_DN40078_c0_g1_i1",3.54873922,-0.942620267,13.14257182,0.000288661,0.002869815,"T1_vs_CTL","up"
"TRINITY_DN46116_c0_g1_i3",1.753634333,7.973772355,13.11879277,0.000292348,0.002901302,"T1_vs_CTL","up"
"TRINITY_DN52616_c0_g1_i1",1.745861603,4.689338175,13.10830355,0.00029399,0.002914137,"T1_vs_CTL","up"
"TRINITY_DN57415_c2_g1_i1",1.723314051,5.34997341,13.10419745,0.000294635,0.002918803,"T1_vs_CTL","up"
"TRINITY_DN63566_c0_g2_i1",2.999511634,-0.13536617,13.09390521,0.000296258,0.002927953,"T1_vs_CTL","up"
"TRINITY_DN52982_c0_g1_i1",1.758138117,4.201049878,13.06566787,0.000300758,0.002970672,"T1_vs_CTL","up"
"TRINITY_DN12322_c0_g1_i1",3.641465492,-0.68766688,13.05265424,0.000302855,0.002987859,"T1_vs_CTL","up"
"TRINITY_DN57699_c0_g2_i1",2.143629155,1.56745386,13.04815842,0.000303583,0.002991435,"T1_vs_CTL","up"
"TRINITY_DN56425_c0_g1_i2",5.189926625,-0.908031019,13.04677139,0.000303808,0.002991435,"T1_vs_CTL","up"
"TRINITY_DN55523_c2_g1_i2",1.795903031,10.14824874,13.02337191,0.000307627,0.00302425,"T1_vs_CTL","up"
"TRINITY_DN61381_c0_g1_i1",1.959304645,2.494792581,13.01349174,0.000309255,0.003036682,"T1_vs_CTL","up"
"TRINITY_DN54031_c0_g1_i1",1.752129802,4.282868354,13.00712089,0.000310309,0.003045245,"T1_vs_CTL","up"
"TRINITY_DN84859_c0_g1_i1",3.228377257,0.549583743,13.00273284,0.000311037,0.003050601,"T1_vs_CTL","up"
"TRINITY_DN61843_c0_g1_i1",1.744362595,7.948489918,13.00077466,0.000311362,0.003052005,"T1_vs_CTL","up"
"TRINITY_DN45974_c0_g1_i1",5.227179245,-0.960156428,12.99832887,0.000311769,0.003054206,"T1_vs_CTL","up"
"TRINITY_DN62691_c4_g1_i3",2.439230765,0.593458875,12.9333368,0.000322782,0.003158395,"T1_vs_CTL","up"
"TRINITY_DN46744_c0_g1_i1",1.704938699,6.41104945,12.89541062,0.000329389,0.003221161,"T1_vs_CTL","up"
"TRINITY_DN43187_c0_g1_i1",1.724572458,4.60615074,12.88712681,0.00033085,0.003231674,"T1_vs_CTL","up"
"TRINITY_DN54089_c0_g1_i1",2.831690068,0.236855598,12.88496406,0.000331233,0.003233525,"T1_vs_CTL","up"
"TRINITY_DN55679_c0_g1_i1",1.752791151,4.132468889,12.88266139,0.00033164,0.003235619,"T1_vs_CTL","up"
"TRINITY_DN61749_c0_g1_i2",2.103877898,1.8812009,12.88072388,0.000331984,0.003237084,"T1_vs_CTL","up"
"TRINITY_DN55045_c0_g1_i1",1.759480149,3.964597748,12.87631017,0.000332768,0.003242838,"T1_vs_CTL","up"
"TRINITY_DN15434_c0_g1_i1",3.170150844,0.114262065,12.86102539,0.000335497,0.003265631,"T1_vs_CTL","up"
"TRINITY_DN36007_c0_g1_i1",2.929919776,-0.655677746,12.85673997,0.000336266,0.003268814,"T1_vs_CTL","up"
"TRINITY_DN46878_c0_g1_i2",1.715667217,7.241369068,12.85499274,0.00033658,0.003268814,"T1_vs_CTL","up"
"TRINITY_DN11355_c0_g1_i2",2.323733201,0.955514857,12.85262944,0.000337005,0.003270808,"T1_vs_CTL","up"
"TRINITY_DN54751_c0_g1_i1",1.729993877,4.576166154,12.83470956,0.000340248,0.003295598,"T1_vs_CTL","up"
"TRINITY_DN50316_c0_g2_i1",2.021654677,2.374527588,12.83416711,0.000340347,0.003295598,"T1_vs_CTL","up"
"TRINITY_DN63895_c0_g2_i1",1.867799874,2.893513262,12.8260403,0.000341828,0.003308029,"T1_vs_CTL","up"
"TRINITY_DN64920_c0_g2_i1",2.209638762,1.380026136,12.82468809,0.000342076,0.003308509,"T1_vs_CTL","up"
"TRINITY_DN24239_c0_g1_i1",1.695747306,6.182738934,12.81414181,0.000344009,0.003321454,"T1_vs_CTL","up"
"TRINITY_DN43880_c0_g1_i1",1.714865725,4.705118156,12.80689658,0.000345344,0.003329986,"T1_vs_CTL","up"
"TRINITY_DN13023_c0_g1_i1",1.703596314,5.241194943,12.80610783,0.00034549,0.003329986,"T1_vs_CTL","up"
"TRINITY_DN137637_c0_g1_i1",2.176141997,1.749578821,12.79695311,0.000347184,0.003341666,"T1_vs_CTL","up"
