"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"16808","TRINITY_DN60169_c1_g1_i1",-3.966087827,6.557962291,58.0466418,2.56e-14,6.49e-12,"T2_vs_CTL","down"
"16809","TRINITY_DN39331_c0_g1_i1",7.443487429,0.916049652,57.95849403,2.68e-14,6.69e-12,"T2_vs_CTL","up"
"16810","TRINITY_DN64699_c0_g2_i1",-4.651447518,2.447988894,57.64039909,3.15e-14,7.75e-12,"T2_vs_CTL","down"
"16811","TRINITY_DN55535_c0_g1_i1",3.941776464,5.927903132,57.4910949,3.4e-14,8.24e-12,"T2_vs_CTL","up"
"16812","TRINITY_DN45325_c0_g1_i1",4.008707867,4.975706356,57.09726979,4.15e-14,9.92e-12,"T2_vs_CTL","up"
"16813","TRINITY_DN51352_c2_g1_i2",-4.083776613,9.344207499,56.63826286,5.24e-14,1.24e-11,"T2_vs_CTL","down"
"16814","TRINITY_DN54085_c0_g1_i2",3.944820736,4.428986671,56.22644883,6.46e-14,1.5e-11,"T2_vs_CTL","up"
"16815","TRINITY_DN53555_c0_g1_i1",3.871068454,5.76454945,55.73335565,8.3e-14,1.9e-11,"T2_vs_CTL","up"
"16816","TRINITY_DN19073_c0_g1_i1",6.370023564,0.826465144,55.69768608,8.45e-14,1.91e-11,"T2_vs_CTL","up"
"16817","TRINITY_DN35830_c0_g1_i1",6.173832675,1.331587369,55.37973562,9.94e-14,2.22e-11,"T2_vs_CTL","up"
"16818","TRINITY_DN54408_c0_g1_i2",3.997501298,8.034710259,54.84624043,1.3e-13,2.87e-11,"T2_vs_CTL","up"
"16819","TRINITY_DN46416_c0_g1_i1",3.893557874,7.694824918,54.64618818,1.44e-13,3.14e-11,"T2_vs_CTL","up"
"16820","TRINITY_DN35896_c0_g1_i1",3.876510194,4.621905647,54.18115598,1.83e-13,3.92e-11,"T2_vs_CTL","up"
"16821","TRINITY_DN36494_c0_g1_i1",8.654824917,0.324198633,53.15723704,3.08e-13,6.52e-11,"T2_vs_CTL","up"
"16822","TRINITY_DN99606_c0_g1_i1",8.67611064,0.252569785,53.02426786,3.29e-13,6.89e-11,"T2_vs_CTL","up"
"16823","TRINITY_DN16898_c0_g1_i1",3.881389796,4.819525691,52.9680386,3.39e-13,6.92e-11,"T2_vs_CTL","up"
"16824","TRINITY_DN61467_c0_g1_i1",3.826084897,5.102598875,52.96796997,3.39e-13,6.92e-11,"T2_vs_CTL","up"
"16825","TRINITY_DN29178_c0_g1_i1",-5.049204871,1.358404771,52.86235513,3.58e-13,7.17e-11,"T2_vs_CTL","down"
"16826","TRINITY_DN42783_c0_g1_i1",3.933825722,9.427902079,52.85179749,3.6e-13,7.17e-11,"T2_vs_CTL","up"
"16827","TRINITY_DN39405_c0_g1_i1",8.846694884,-0.155117264,52.74973728,3.79e-13,7.46e-11,"T2_vs_CTL","up"
"16828","TRINITY_DN1273_c0_g1_i1",8.774723409,-0.020507437,52.71197735,3.86e-13,7.52e-11,"T2_vs_CTL","up"
"16829","TRINITY_DN55214_c0_g1_i1",-3.8836345,3.839302682,52.38771206,4.56e-13,8.77e-11,"T2_vs_CTL","down"
"16830","TRINITY_DN58079_c33_g2_i2",3.871185641,8.936221857,52.33485492,4.68e-13,8.9e-11,"T2_vs_CTL","up"
"16831","TRINITY_DN54219_c0_g1_i1",-4.3434984,2.464418074,52.21099767,4.98e-13,9.36e-11,"T2_vs_CTL","down"
"16832","TRINITY_DN123182_c0_g1_i1",6.476315915,1.192443673,52.19314684,5.03e-13,9.36e-11,"T2_vs_CTL","up"
